Entidad,Clave_Entidad,Municipio,Clave_Municipio, Cuenta_Atlas ,Anio_Atlas,Cuenta_PPC,Cuenta_UnidadPC
 Veracruz de Ignacio de la Llave,30,Agua Dulce,204,1,2011,0,1
 Veracruz de Ignacio de la Llave,30, Álamo Temapache,160,1,2011,0,1
 Veracruz de Ignacio de la Llave,30,Alpatláhuac,008,1,2011,0,0
 Veracruz de Ignacio de la Llave,30,Alvarado,011,1,2016,0,0
 Veracruz de Ignacio de la Llave,30,Amatlán de los Reyes,014,1,2011,0,0
 Veracruz de Ignacio de la Llave,30,Angel R. Cabada,015,1,2011,0,1
 Veracruz de Ignacio de la Llave,30,Atzacan,022,1,2011,0,1
 Veracruz de Ignacio de la Llave,30,Ayahualulco,025,1,2011,0,0
 Veracruz de Ignacio de la Llave,30,Boca del Río,028,1,2006,1,1
 Veracruz de Ignacio de la Llave,30,Chiconquiaco,057,1,2020,0,0
 Veracruz de Ignacio de la Llave,30,Chocamán,062,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Coatepec,038,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Coatzacoalcos,039,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Coatzintla,040,1,2008,0,0
 Veracruz de Ignacio de la Llave,30,Córdoba,044,1,2020,1,1
 Veracruz de Ignacio de la Llave,30,Coscomatepec,047,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Huiloapan de Cuauhtémoc,074,1,2018,1,1
 Veracruz de Ignacio de la Llave,30,Ixhuacán de los Reyes,079,1,2011,0,0
 Veracruz de Ignacio de la Llave,30, La Antigua,016,1,2011,1,1
 Veracruz de Ignacio de la Llave,30, La Perla,127,1,2011,0,1
 Veracruz de Ignacio de la Llave,30,Las Choapas,061,1,2009,0,0
 Veracruz de Ignacio de la Llave,30,Lerdo de Tejada,097,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Martínez de la Torre,102,1,2014,0,1
 Veracruz de Ignacio de la Llave,30,Minatitlán,108,1,2009,0,1
 Veracruz de Ignacio de la Llave,30,Nogales,115,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Oteapan,120,1,2011,0,0
 Veracruz de Ignacio de la Llave,30,Pánuco,123,1,2011,0,1
 Veracruz de Ignacio de la Llave,30,Poza Rica de Hidalgo,131,1,2020,1,1
